al_ContractNumber;al_amount;al_issue_M_group;sex;is_client_local;has_snils;zaim_cards;age;has_foreign_currency_credits;court_counts;official_count;has_resold_credits;cred_line_state;potreb_tot;potreb_active_tot_group;potreb_other_states_tot;pdl_tot;pdl_closed_tot;pdl_active_to_total_group;pdl_delay5_cnt;pdl_delay30_cnt;pdl_delay60_cnt;pdl_delay90_cnt;pdl_delay_more_cnt;pdl_prolong_cnt;avg_payout_period_pdl;avg_pdl_full_cost;avg_pdl_amount;pdl_delay5_avg;pdl_delay30_avg;pdl_delay60_avg;pdl_delay90_avg;pdl_delay_more_avg;res_npl_15;is_test
150197-005-17;3000;3;1;0;0;0;2;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
150220-005-17;5000;3;1;0;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
151313-005-17;5000;3;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
152029-005-17;3000;3;1;0;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
153614-005-17;5000;3;1;1;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
153765-005-17;3000;3;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
155010-005-17;5000;3;1;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
155392-005-17;5000;3;1;1;0;0;2;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
157858-005-17;4000;3;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
157650-005-17;5000;3;1;1;0;0;2;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
158493-005-17;3000;3;1;1;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
159003-005-17;5000;3;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
158895-005-17;3000;3;1;1;0;0;2;0;0;0;0;1;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
160648-005-17;5000;3;1;1;0;0;2;0;0;0;0;2;1;2;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
161947-005-17;3000;3;2;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
162537-005-17;5000;3;2;1;1;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
162777-005-17;3000;3;1;1;0;0;1;0;0;0;0;2;0;3;0;1;1;3;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0
164909-005-17;3000;3;1;1;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
164880-005-17;3000;3;2;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
165808-005-17;3000;3;1;0;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
167354-005-17;3000;3;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
168164-005-17;3000;3;1;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
168237-005-17;5000;3;1;1;0;0;2;0;0;1;1;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
168404-005-17;5000;3;1;1;0;0;2;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
169834-005-17;5000;3;1;1;0;0;2;0;0;0;0;1;1;2;1;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
169447-005-17;5000;3;1;1;0;0;1;0;1;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
171062-005-17;5000;3;1;1;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
171241-005-17;3000;3;1;0;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
171209-005-17;3000;3;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
173181-005-17;3000;3;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
174240-005-17;5000;3;1;1;0;0;2;0;0;0;0;2;1;2;1;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
174717-005-17;5000;3;1;1;0;0;3;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
175780-005-17;5000;3;1;0;1;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
176050-005-17;5000;3;1;1;0;0;1;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
176209-005-17;5000;3;2;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
177189-005-17;5000;3;2;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
178718-005-17;3000;3;1;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
180940-005-17;5000;3;1;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
182866-005-17;5000;3;1;1;0;0;2;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
185633-005-17;5000;3;1;1;0;0;2;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
186131-005-17;5000;3;2;1;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
186919-005-17;3000;3;2;1;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
188412-005-17;5000;3;2;0;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
189614-005-17;3000;3;1;1;0;0;2;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
189285-005-17;4000;3;2;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
190478-005-17;5000;3;1;1;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
190911-005-17;5000;3;1;1;0;0;2;0;0;0;1;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
191783-005-17;5000;3;1;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
193345-005-17;3000;3;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
196931-005-17;5000;3;1;1;0;0;3;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
196747-005-17;5000;3;1;1;0;0;1;0;0;0;0;2;1;3;0;1;0;3;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0
197443-005-17;3000;3;1;1;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
198085-005-17;3000;3;1;1;0;0;1;0;0;0;0;2;0;3;0;1;0;3;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0
198129-005-17;3000;3;1;1;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
198860-005-17;5000;3;1;1;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
199844-005-17;3000;3;1;1;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
200374-005-17;5000;3;2;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
200485-005-17;5000;3;1;1;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
203184-005-17;5000;3;1;1;0;0;2;0;0;0;0;2;1;2;1;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
203845-005-17;4000;3;2;1;0;0;2;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
204879-005-17;5000;3;1;1;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
204906-005-17;3000;3;1;1;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
207770-005-17;5000;3;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
208522-005-17;5000;3;1;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
209406-005-17;5000;3;1;1;0;0;2;0;0;0;1;2;1;3;0;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;1;1;0;0
210189-005-17;5000;3;2;1;0;0;3;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
211626-005-17;3000;3;1;0;0;0;3;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
211615-005-17;3000;3;1;1;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
212034-005-17;5000;3;2;1;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
212658-005-17;5000;3;1;1;0;0;3;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
212795-005-17;3000;3;1;0;1;0;1;0;0;0;0;2;1;2;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
213980-005-17;3000;3;2;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
213997-005-17;5000;3;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
214026-005-17;5000;3;1;0;0;0;2;0;0;0;0;2;1;2;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
213853-005-17;3000;3;1;0;0;0;3;0;0;0;0;1;1;3;0;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0
214254-005-17;5000;3;1;1;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
215619-005-17;5000;3;2;1;0;0;1;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
217292-005-17;5000;3;1;0;0;0;3;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
218088-005-17;5000;3;1;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
219255-005-17;3000;2;1;1;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
218877-005-17;3000;2;1;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
219379-005-17;5000;2;1;0;0;0;2;0;0;0;0;2;1;2;1;1;0;2;0;0;0;1;1;1;1;1;0;0;0;0;1;1;1;0
220901-005-17;5000;2;1;1;1;0;3;0;0;0;0;2;1;1;1;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
221409-005-17;5000;2;2;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
221708-005-17;3000;2;1;1;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
222190-005-17;5000;2;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
223514-005-17;5000;2;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
223913-005-17;5000;2;1;1;0;0;3;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
225899-005-17;5000;2;1;0;0;0;2;0;0;0;1;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
227349-005-17;5000;2;2;0;1;0;2;0;0;0;0;2;1;1;0;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0
227207-005-17;5000;2;1;1;0;0;3;0;0;0;0;2;1;3;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
227712-005-17;3000;2;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
228888-005-17;3000;2;1;0;1;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
230308-005-17;3000;2;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
230187-005-17;5000;2;1;1;0;0;3;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
230995-005-17;5000;2;1;1;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
232433-005-17;5000;2;1;0;0;0;3;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
232623-005-17;5000;2;1;0;0;0;3;0;0;0;0;2;1;1;1;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
233915-005-17;3000;2;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
233766-005-17;5000;2;1;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
234507-005-17;5000;2;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
235109-005-17;3000;2;1;0;0;0;2;0;0;0;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;2;1;0;0;0;0;0;0;0
237149-005-17;5000;2;1;0;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
237304-005-17;5000;2;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
237270-005-17;5000;2;2;0;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
237552-005-17;5000;2;2;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
238080-005-17;5000;2;2;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
238232-005-17;5000;2;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
238026-005-17;5000;2;2;1;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
239230-005-17;5000;2;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
239242-005-17;5000;2;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
238938-005-17;3000;2;1;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
239192-005-17;5000;2;1;0;0;1;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
239792-005-17;5000;2;2;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
239447-005-17;3000;2;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
240152-005-17;5000;2;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
240140-005-17;5000;2;1;0;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
241805-005-17;5000;2;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
241873-005-17;3000;2;2;0;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
242517-005-17;5000;2;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
244104-005-17;5000;2;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
243736-005-17;5000;2;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
244827-005-17;5000;2;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
246729-005-17;4000;2;2;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
246456-005-17;5000;2;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
246564-005-17;5000;2;1;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
246625-005-17;5000;2;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
246947-005-17;5000;2;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
247035-005-17;5000;2;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
247677-005-17;3000;2;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
247248-005-17;5000;2;1;1;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
249077-005-17;3000;2;1;0;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
249481-005-17;5000;2;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
2710-006-17;3000;1;1;1;1;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
3106-006-17;5000;1;1;0;1;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
3902-006-17;5000;1;1;0;1;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
4505-006-17;5000;1;1;0;0;0;1;0;0;0;0;2;1;1;1;1;0;2;0;1;0;0;0;1;1;1;1;0;1;0;0;0;0;0
4736-006-17;5000;1;1;0;1;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
5252-006-17;5000;1;2;0;1;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
6256-006-17;5000;1;1;1;0;0;3;0;0;0;0;2;0;3;0;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0
7706-006-17;3000;1;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
7989-006-17;5000;1;1;1;1;0;3;0;0;0;0;1;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
8513-006-17;5000;1;1;0;0;0;3;0;0;0;0;2;1;2;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
8875-006-17;5000;1;1;0;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
8669-006-17;5000;1;1;0;1;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
9446-006-17;3000;1;2;1;1;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
9796-006-17;5000;1;1;0;0;0;2;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
10086-006-17;5000;1;1;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
9768-006-17;5000;1;1;0;0;0;1;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
9524-006-17;5000;1;2;1;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
10661-006-17;5000;1;2;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
11778-006-17;5000;1;1;1;0;0;3;0;0;0;0;2;0;3;0;1;0;2;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
11713-006-17;5000;1;1;1;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
11766-006-17;3000;1;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
11296-006-17;5000;1;1;0;0;0;2;0;0;0;0;2;0;3;0;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
11689-006-17;4000;1;2;0;0;0;3;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
13428-006-17;5000;1;1;0;0;0;2;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
13680-006-17;5000;1;2;0;0;0;3;0;1;1;0;2;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;0;1;0
13675-006-17;5000;1;1;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
14953-006-17;5000;1;1;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
15291-006-17;5000;1;1;0;0;0;2;0;0;0;1;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
14823-006-17;5000;1;2;1;0;0;2;0;0;0;0;1;1;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
15999-006-17;5000;1;1;0;0;0;2;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
16108-006-17;5000;1;1;1;0;0;1;0;0;0;0;2;1;3;0;1;0;2;0;1;0;0;0;1;1;1;1;0;1;0;0;0;0;0
16020-006-17;5000;1;2;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
15974-006-17;5000;1;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
16473-006-17;5000;1;1;0;1;0;2;0;0;0;0;2;1;1;1;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
16659-006-17;5000;1;1;0;0;0;3;0;0;0;1;2;1;3;0;1;0;3;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0
16878-006-17;5000;1;1;0;0;0;2;0;0;0;0;2;0;3;0;1;0;2;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0
17371-006-17;5000;1;1;1;0;0;1;0;0;0;0;2;1;2;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
19948-006-17;3000;1;1;1;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
19504-006-17;5000;1;2;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
20378-006-17;5000;1;1;0;0;0;1;0;0;0;1;2;1;3;0;1;0;3;0;1;0;0;0;1;1;2;1;0;1;0;0;0;0;0
20219-006-17;3000;1;1;1;0;0;1;0;0;0;0;2;1;2;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
20474-006-17;5000;1;1;0;0;0;1;0;0;0;1;2;1;3;0;1;1;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0
21215-006-17;5000;1;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
21449-006-17;3000;1;1;0;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
22559-006-17;5000;1;2;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
22905-006-17;4000;1;1;1;0;0;2;0;0;0;0;2;1;2;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
23484-006-17;5000;1;1;0;0;0;2;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
